#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p1mm_SINGLE_LAYER"
 2.195846185E-01 9.144000000E-01 -3.071046112E-02
 2.195846395E-01 9.144000000E-01 -3.071046022E-02
 2.278101530E-01 9.144000000E-01 -3.035705723E-02
 2.278101740E-01 9.144000000E-01 -3.035705624E-02
 2.360340830E-01 9.144000000E-01 -2.996853160E-02
 2.360341040E-01 9.144000000E-01 -2.996853052E-02
 2.442563857E-01 9.144000000E-01 -2.954669326E-02
 2.442564066E-01 9.144000000E-01 -2.954669211E-02
 2.524769851E-01 9.144000000E-01 -2.909323547E-02
 2.524770061E-01 9.144000000E-01 -2.909323423E-02
 2.606959019E-01 9.144000000E-01 -2.860973269E-02
 2.606959228E-01 9.144000000E-01 -2.860973139E-02
 2.689130584E-01 9.144000000E-01 -2.809763931E-02
 2.689130793E-01 9.144000000E-01 -2.809763793E-02
 2.771284890E-01 9.144000000E-01 -2.755830102E-02
 2.771285099E-01 9.144000000E-01 -2.755829958E-02
 2.853421882E-01 9.144000000E-01 -2.699292068E-02
 2.853422091E-01 9.144000000E-01 -2.699291918E-02
 2.935541213E-01 9.144000000E-01 -2.640271068E-02
 2.935541422E-01 9.144000000E-01 -2.640270911E-02
 3.017643028E-01 9.144000000E-01 -2.578873428E-02
 3.017643237E-01 9.144000000E-01 -2.578873265E-02
 3.099727409E-01 9.144000000E-01 -2.515196185E-02
 3.099727618E-01 9.144000000E-01 -2.515196017E-02
 3.181794677E-01 9.144000000E-01 -2.449327995E-02
 3.181794886E-01 9.144000000E-01 -2.449327821E-02
 3.263844809E-01 9.144000000E-01 -2.381351028E-02
 3.263845018E-01 9.144000000E-01 -2.381350850E-02
 3.345877432E-01 9.144000000E-01 -2.311340234E-02
 3.345877642E-01 9.144000000E-01 -2.311340051E-02
 3.427893311E-01 9.144000000E-01 -2.239361925E-02
 3.427893520E-01 9.144000000E-01 -2.239361736E-02
 3.509892272E-01 9.144000000E-01 -2.165477090E-02
 3.509892481E-01 9.144000000E-01 -2.165476897E-02
 3.591874344E-01 9.144000000E-01 -2.089732390E-02
 3.591874553E-01 9.144000000E-01 -2.089732193E-02
 3.673839286E-01 9.144000000E-01 -2.012178782E-02
 3.673839494E-01 9.144000000E-01 -2.012178580E-02
 3.755787416E-01 9.144000000E-01 -1.932861975E-02
 3.755787625E-01 9.144000000E-01 -1.932861769E-02
 3.837718707E-01 9.144000000E-01 -1.851820454E-02
 3.837718916E-01 9.144000000E-01 -1.851820243E-02
 3.919632917E-01 9.144000000E-01 -1.769062603E-02
 3.919633126E-01 9.144000000E-01 -1.769062388E-02
 4.001530022E-01 9.144000000E-01 -1.684627649E-02
 4.001530231E-01 9.144000000E-01 -1.684627430E-02
 4.083409485E-01 9.144000000E-01 -1.598524185E-02
 4.083409693E-01 9.144000000E-01 -1.598523961E-02
 4.165271758E-01 9.144000000E-01 -1.510774299E-02
 4.165271967E-01 9.144000000E-01 -1.510774071E-02
 4.247115823E-01 9.144000000E-01 -1.421360405E-02
 4.247116032E-01 9.144000000E-01 -1.421360173E-02
 4.328941810E-01 9.144000000E-01 -1.330301086E-02
 4.328942019E-01 9.144000000E-01 -1.330300849E-02
 4.410749372E-01 9.144000000E-01 -1.237589487E-02
 4.410749580E-01 9.144000000E-01 -1.237589247E-02
 4.492537833E-01 9.144000000E-01 -1.143214505E-02
 4.492538041E-01 9.144000000E-01 -1.143214260E-02
 4.574306683E-01 9.144000000E-01 -1.047145874E-02
 4.574306892E-01 9.144000000E-01 -1.047145625E-02
 4.656055031E-01 9.144000000E-01 -9.493842183E-03
 4.656055240E-01 9.144000000E-01 -9.493839646E-03
 4.737782912E-01 9.144000000E-01 -8.498917958E-03
 4.737783120E-01 9.144000000E-01 -8.498915377E-03
 4.819488919E-01 9.144000000E-01 -7.486385937E-03
 4.819489128E-01 9.144000000E-01 -7.486383310E-03
 4.901172831E-01 9.144000000E-01 -6.455926524E-03
 4.901173039E-01 9.144000000E-01 -6.455923850E-03
 4.982833190E-01 9.144000000E-01 -5.407165265E-03
 4.982833398E-01 9.144000000E-01 -5.407162543E-03
 5.064469262E-01 9.144000000E-01 -4.339479915E-03
